cik,year,filename,incorporation_state,incorporation_year,employee_count,fiscal_year_end,headquarters_state,company_product,ceo_lastname,ceo_fullname_backup
92116,1993,92116_1993.txt,California,1929,,,,,,
103730,1993,103730_1993.txt,Delaware,1962,172,,Pennsylvania,,,
100240,1993,100240_1993.txt,Georgia,1965,"5,317",,,,,
60041,1993,60041_1993.txt,Delaware,1953,"4,000",,,,,
55387,1993,55387_1993.txt,,1994,"2,260",,,,,
40878,1993,40878_1993.txt,Virginia,1993,"4,729",,,,,
800287,1993,800287_1993.txt,Delaware,1978,,,,,,
50178,1993,50178_1993.txt,Indiana,1993,305,,Illinois,"furnishing a wide variety of advanced telecommunications services in Indiana, including local exchange and toll service and network access services",,
725625,1993,725625_1993.txt,Texas,1977,129,,,natural gas pipeline and natural gas processing operations,,
66479,1993,66479_1993.txt,Massachusetts,1994,360,,,,,
854094,1993,854094_1993.txt,,1934,"5,000",,,,,
846972,1993,846972_1993.txt,Delaware,1985,125,December 31,,,,
59478,1993,59478_1993.txt,,1901,"32,700",,,,,
22767,1993,22767_1993.txt,,1988,,,,,Thomas,
738339,1993,738339_1993.txt,,1993,"4,800",,,,Volla,
7383,1993,7383_1993.txt,,1917,"6,600",,,,,
711404,1993,711404_1993.txt,,1989,,,,"investing or trading in
securities and which owns 'investment securities' (as such term is defined in the Investment Company Act) having a value excee",,
75042,1993,75042_1993.txt,Delaware,1929,,,,,,
18497,1993,18497_1993.txt,Delaware,,257,,,,,
33565,1993,33565_1993.txt,Delaware,1930,,,,,Owen,
799036,1993,799036_1993.txt,Delaware,1966,,,Illinois,,,
846902,1993,846902_1993.txt,Delaware,1985,"2,800",,,,,
717605,1993,717605_1993.txt,California,1946,,,,,Brown,
92487,1993,92487_1993.txt,,1995,"2,033",,,,Turk,
79166,1993,79166_1993.txt,,,,,,publishing and distributing advanced scientific and technical material,Tash,
101320,1993,101320_1993.txt,,1903,,,,"managing or controlling banks and such other businesses related to banking as may be authorized under the Bank Holding Company Act of 1956, as amended",,
17797,1993,17797_1993.txt,,,"8,027",,North Carolina,,,
216228,1993,216228_1993.txt,,1920,"98,000",,,,,
791445,1993,791445_1993.txt,June,1993,"3,800",,,,Trump,
719264,1993,719264_1993.txt,December,1900,,,,banking,,
92050,1993,92050_1993.txt,Delaware,1947,,,Florida,,,
702163,1993,702163_1993.txt,New Jersey,1982,,,New Jersey,,,
75252,1993,75252_1993.txt,Virginia,1993,,,,,,
108721,1993,108721_1993.txt,,1992,"1,978",,California,recycling and reclaiming spent solvents and other hazardous wastes at the CRI Site until it ceased operations in February 1989,,
37748,1993,37748_1993.txt,Delaware,1978,,,California,,,
701345,1993,701345_1993.txt,Delaware,1994,,,Virginia,,Buffett,
310431,1993,310431_1993.txt,Delaware,1979,,,,,,
764037,1993,764037_1993.txt,,1983,952,,,,,
201461,1993,201461_1993.txt,Delaware,1968,,,,,,
741612,1993,741612_1993.txt,February,1988,,,,,,
797463,1993,797463_1993.txt,Delaware,1984,,,Connecticut,,,
100826,1993,100826_1993.txt,Missouri,1922,"4,400",,,,,
101830,1993,101830_1993.txt,,1938,"50,500",,,,,
33619,1993,33619_1993.txt,August,1992,"2,800",October 31,,,,
215419,1993,215419_1993.txt,Pennsylvania,1977,"1,366",,NJ,,,
40454,1993,40454_1993.txt,Missouri,1991,,,,,,
77227,1993,77227_1993.txt,,1919,"3,532",,,,Leva,
65358,1993,65358_1993.txt,,1980,,,,investing in real estate properties,,
54502,1993,54502_1993.txt,Kansas,1995,"1,735",,,,,
91576,1993,91576_1993.txt,Ohio,1958,,,,,,
92088,1993,92088_1993.txt,,1967,"10,200",,Georgia,,,
832427,1993,832427_1993.txt,Delaware,1993,"7,700",,California,,,
893928,1993,893928_1993.txt,Florida,1926,"16,679",,,,,
53347,1993,53347_1993.txt,North Carolina,1968,,,,,Stephens,
14957,1993,14957_1993.txt,,1993,"1,803",,,,,
860713,1993,860713_1993.txt,,1978,327,,,,,
66904,1993,66904_1993.txt,Delaware,1906,,,,,Hutchins,
740763,1993,740763_1993.txt,,1984,"3,428",December 31,,,,
315189,1993,315189_1993.txt,Delaware,1958,"33,070",,,,,
93675,1993,93675_1993.txt,New York,1922,,,,,,
15393,1993,15393_1993.txt,,1929,500,,,"producing, publishing, and marketing programs for training in the Equal Employment Opportunity and safety and health related fields",,
36270,1993,36270_1993.txt,November,1993,,December 31,New York,,,
40874,1993,40874_1993.txt,Delaware,1926,"7,184",,,,,
81061,1993,81061_1993.txt,Florida,1993,"82,000",,,,,
92195,1993,92195_1993.txt,June,1993,,,,,,
67646,1993,67646_1993.txt,Maryland,1925,"1,962",,,,Baum,
49423,1993,49423_1993.txt,Delaware,1969,,,Connecticut,,Mc,
814153,1993,814153_1993.txt,Colorado,1988,,December 31,,,,
20947,1993,20947_1993.txt,Ohio,1985,"6,748",,,,,
2024,1993,2024_1993.txt,Puerto Rico,1964,,,Illinois,,,
33798,1993,33798_1993.txt,Michigan,1919,,,,,,
90185,1993,90185_1993.txt,Delaware,1993,,,Missouri,,,
81100,1993,81100_1993.txt,Washington,1993,,,,,,
766829,1993,766829_1993.txt,California,1931,274,,,,Gibson,
