cik,year,filename,incorporation_state,incorporation_year,employee_count,fiscal_year_end,headquarters_state,company_product,ceo_lastname
92116,1993,92116_1993.txt,California,1929,486,December 31,California,Water distribution and sale,NULL
103730,1993,103730_1993.txt,Delaware,1962,NULL,December 31,Pennsylvania,Electronic components manufacturing,NULL
100240,1993,100240_1993.txt,Georgia,1965,NULL,December 31,Georgia,Entertainment and news broadcasting,NULL
58696,1993,58696_1993.txt,Florida,1954,1660,NULL,Florida,"Homebuilding and real estate. NOT_FOUND. (Note: The company has multiple business activities, includ",NULL
46207,1993,46207_1993.txt,Hawaii,1891,4500,December 31,Hawaii,Electric utility services,NULL
60041,1993,60041_1993.txt,Connecticut,1953,4000,December 31,Connecticut,Adhesives and sealants,NULL
55387,1993,55387_1993.txt,Kentucky,NULL,2260,December 31,Kentucky,Electric power generation,NULL
40878,1993,40878_1993.txt,Virginia,1947,4729,December 31,NULL,Telecommunications services,Goode
53540,1993,53540_1993.txt,NULL,1968,NULL,NULL,NULL,NOT_FOUND.  (The company is not engaged in any business operations.)  (Note: The company has been in,NULL
800287,1993,800287_1993.txt,Delaware,1978,25000,December 31,Illinois,Hazardous waste management services,NULL
50178,1993,50178_1993.txt,Indiana,1900,NULL,December 31,NULL,Telecommunications services,NULL
725625,1993,725625_1993.txt,Delaware,1977,NULL,December 31,Louisiana,Natural gas pipeline operations,NULL
66479,1993,66479_1993.txt,Massachusetts,1954,3664,December 31,Massachusetts,Membrane separations technology,NULL
700674,1993,700674_1993.txt,NULL,1985,4271,December 31,Connecticut,Freight forwarding services. NYFS03...:\16\12316\0001\7120\FRM32894.P9B NYFS03,NULL
854094,1993,854094_1993.txt,Indiana,1934,5000,December 29,Indiana,Newspaper publishing. Read this SEC 10-K filing excerpt and answer the question,NULL
846972,1993,846972_1993.txt,Delaware,1985,NULL,December 31,Pennsylvania,Refractory products and services. NOT_FOUND. Refractory products and services. Refractory products a,NULL
59478,1993,59478_1993.txt,Indiana,1901,5600,NULL,Indiana,Pharmaceutical products,NULL
5550,1993,5550_1993.txt,Wyoming,1955,4,December 31,Wyoming,Byproduct material disposal. NOT_FOUND. (Note: The company's main business activity is byproduct mat,NULL
